tweet,clean_text,crime_type,sentiment
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
GunsandCoffee,gunsandcoffee,Other,Neutral
Abu Layth Al Hindi,abu layth al hindi,Other,Neutral
Abu Layth Al Hindi,abu layth al hindi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
IS_BAQIYA,isbaqiya,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
ابو الدرداء #خلافة,,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
abu baker aldimashqi,abu baker aldimashqi,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
Kuffar Hunter 1,kuffar hunter,Other,Neutral
